URL,Status Code,Response Message,Domain Status,Expiration Date,For Sale,Response Time
https://www.marriott.com/hotels/travel/laxcv-courtyard-los-angeles-westside/?y_source=1_NjQ3NTcxLTQ0MC1sb2NhdGlvbi53ZWJzaXRl,200.0,OK,Fresh,2025-01-04 05:00:00,No,0.692323
https://www.wyndhamhotels.com/ramada/west-hollywood-california/ramada-plaza-hotel-suites-west-hollywood-beverly-hills/overview,200.0,OK,Fresh,2024-04-01 20:22:10,No,0.966276
https://www.marriott.com/hotels/travel/laxcy-courtyard-los-angeles-lax-century-boulevard/?y_source=1_MTYzODkzMS00NDAtbG9jYXRpb24ud2Vic2l0ZQ==,200.0,OK,Fresh,2025-01-04 05:00:00,No,0.692652
https://www.marriott.com/hotels/travel/laxfp-four-points-los-angeles-international-airport/?y_source=1_MTUwMjczNC00NDAtbG9jYXRpb24ud2Vic2l0ZQ==,200.0,OK,Fresh,2025-01-04 05:00:00,No,0.696491
http://www.themomenthotel.com/,200.0,OK,Fresh,2024-05-25 03:25:25,No,2.292686
http://www.marriott.com/hotels/travel/laxmh-residence-inn-los-angeles-lax-manhattan-beach,200.0,OK,Fresh,2025-01-04 05:00:00,No,0.72162
https://www.carlyle-inn.com/,,,Fresh,2025-05-21 04:00:00,No,5.355763
https://www.hilton.com/en/hotels/laxmadt-hotel-mdr-marina-del-rey,403.0,Forbidden,Fresh,2024-11-22 05:00:00,No,0.758159
https://www.ihg.com/holidayinnexpress/hotels/us/en/los-angeles/laxat/hoteldetail,200.0,OK,Fresh,2024-05-03 04:00:00,No,1.021045
https://www.marriott.com/en-us/hotels/laxsi-sheraton-gateway-los-angeles-hotel/overview,200.0,OK,Fresh,2025-01-04 05:00:00,No,0.683519
https://www.visitcatalinaisland.com/lodging/avalon/hotel-atwater,200.0,OK,Fresh,2025-01-18 18:47:47,No,2.838152
https://www.marriott.com/hotels/travel/burri-residence-inn-los-angeles-burbank-downtown/?y_source=1_NjUwMzY5LTQ0MC1sb2NhdGlvbi53ZWJzaXRl,200.0,OK,Fresh,2025-01-04 05:00:00,No,0.681716
https://www.marriott.com/hotels/travel/laxwf-four-points-los-angeles-westside/?y_source=1_MTUwMjczMi00NDAtbG9jYXRpb24ud2Vic2l0ZQ==,200.0,OK,Fresh,2025-01-04 05:00:00,No,0.722455
http://www.beverlyhillsresidenceinn.com/,200.0,OK,Fresh,2024-09-23 11:59:59,No,0.804176
https://www.coasthotels.com/hotels/california/burbank/coast-anabelle-hotel,404.0,Not Found,Fresh,2026-02-05 05:00:00,No,2.30797
https://www.marriott.com/hotels/travel/laxmo-courtyard-santa-monica/?y_source=1_Mzg5MDI2MS00NDAtbG9jYXRpb24ud2Vic2l0ZQ==,200.0,OK,Fresh,2025-01-04 05:00:00,No,0.722494
https://www.marriott.com/hotels/travel/laxmh-residence-inn-los-angeles-lax-manhattan-beach/?y_source=1_MTk3ODkzOC00NDAtbG9jYXRpb24ud2Vic2l0ZQ==,200.0,OK,Fresh,2025-01-04 05:00:00,No,0.727199
https://www.marriott.com/hotels/travel/bursi-sheraton-universal-hotel/?y_source=1_MTUwMzAyMy00NDAtbG9jYXRpb24ud2Vic2l0ZQ==,200.0,OK,Fresh,2025-01-04 05:00:00,No,0.694512
https://www.ihg.com/holidayinn/hotels/us/en/burbank/laxbb/hoteldetail,200.0,OK,Fresh,2024-05-03 04:00:00,No,0.719327
http://shelterhotels.com/,200.0,OK,Fresh,2026-12-14 11:59:59,No,1.98635
https://www.marriott.com/hotels/travel/laxrr-renaissance-los-angeles-airport-hotel/?y_source=1_NzQ4MDYwLTQ0MC1sb2NhdGlvbi53ZWJzaXRl,200.0,OK,Fresh,2025-01-04 05:00:00,No,0.720126
